congressperson_name,congressperson_id,congressperson_document,term,state,party,term_id,subquota_number,subquota_description,subquota_group_id,subquota_group_description,supplier,cnpj_cpf,document_number,document_type,issue_date,document_value,remark_value,total_net_value,month,year,installment,passenger,leg_of_the_trip,batch_number,numbers,total_value,applicant_id,document_id,is_returned,is_meal
CLÁUDIO PUTY,160557.0,22.0,2011.0,PA,PT,54,13,Congressperson meal,0,,GLERSY ALIMENTOS LTDA,11197839000188,010604,0,2011-06-26T00:00:00,73.8,0.0,73.8,6,2011,0,,,554035,[None],0.0,2313,2124621,True,True
NELSON PELLEGRINO,74571.0,209.0,2019.0,BA,PT,54,13,Congressperson meal,0,,MASTER FOODS SALVADOR LTDA,8561781000286,149037,0,2011-08-24T00:00:00,18.0,0.0,18.0,8,2011,0,,,559667,[None],0.0,1344,2143829,True,True
FRANCISCO FLORIANO,160677.0,297.0,2015.0,RJ,DEM,54,13,Congressperson meal,0,,GRANDVILLE DELIVERY,7290902000159,076212,0,2014-12-09T00:00:00,63.5,0.0,63.5,12,2014,0,,,1155723,[None],0.0,2267,5565208,True,True
JÚLIO DELGADO,73586.0,250.0,2019.0,MG,PSB,55,13,Congressperson meal,0,,VILLA RURAL COMPRAS & LAZER LTDA,65927000100,152152,0,2018-04-05T00:00:00,78.11,0.0,78.11,4,2018,0,,,1484075,[None],0.0,1480,6551832,True,True
EDMAR ARRUDA,160578.0,446.0,2015.0,PR,PSD,54,13,Congressperson meal,0,,KILOCHIK,8071182000101,013801,0,2012-07-27T00:00:00,72.0,0.0,72.0,7,2012,0,,,628801,[None],0.0,2270,2369909,True,True
CARLAILE PEDROSA,160585.0,222.0,2011.0,MG,PSDB,54,13,Congressperson meal,0,,MINUTA RECEPCOES E SERVICOS DE BUFFET LTDA-ME,1019348000193,38194,0,2012-02-08T00:00:00,58.0,0.0,58.0,2,2012,0,,,591600,[None],0.0,2297,2249989,True,True
DR. ADILSON SOARES,141371.0,293.0,2011.0,RJ,PR,53,13,Congressperson meal,0,,BERBIGAO  RIO RESTAURANTE E BAR LTDA,5290888000168,10196,0,2011-01-11T00:00:00,160.0,0.0,160.0,1,2011,0,,,516808,[None],0.0,1812,1999567,True,True
SIMÃO SESSIM,73424.0,327.0,2015.0,RJ,PP,54,13,Congressperson meal,0,,RR JF Bar Restaurante e Churrascaria Ltda,12565450000100,314312,0,2014-10-06T00:00:00,46.1,0.0,46.1,10,2014,0,,,1154793,[None],0.0,184,5558669,True,True
JOSE EDUARDO CARDOZO,74274.0,366.0,2007.0,SP,PT,53,13,Congressperson meal,0,,ZILMA BORGES DE MORAES AGUIAR ME,11331134000101,006904,0,2010-02-23T00:00:00,10.6,0.0,10.6,2,2010,0,,,456145,[None],0.0,1566,1785087,True,True
ANTONIO IMBASSAHY,160530.0,191.0,2015.0,BA,PSDB,54,13,Congressperson meal,0,,MARIETTA CAFE,683748001531,201531,0,2011-09-12T00:00:00,24.2,0.0,24.2,9,2011,0,,,564467,[None],0.0,2295,2160422,True,True
DR. GRILO,160514.0,235.0,2011.0,MG,SD,54,13,Congressperson meal,0,,C.B. BRASILIA COMERCIO DA ALIMENTOS LTDA,11903789000107,13768,0,2011-08-03T00:00:00,86.55,0.0,86.55,8,2011,0,,,555552,[None],0.0,2234,2130036,True,True
ROSINHA DA ADEFAL,146949.0,586.0,2015.0,AL,AVANTE,55,13,Congressperson meal,0,,SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,33469172000672,231558,0,2016-11-23T00:00:00,31.5,0.0,31.5,11,2016,0,,,1343216,[None],0.0,2224,6163235,True,True
EDUARDO LOPES,4928.0,525.0,2007.0,RJ,PRB,53,13,Congressperson meal,0,,NIAD RESTAURANTES LTDA,9072520000265,086701,0,2009-07-20T00:00:00,22.9,0.0,22.9,7,2009,0,,,413273,[None],0.0,1971,1639074,True,True
ALEXANDRE FROTA,204544.0,340.0,2019.0,SP,PSL,56,13,Congressperson meal,0,,HOTEL PHENICIA LTDA,469171000326,24981,4,2019-02-08T00:00:00,310.0,0.0,310.0,2,2019,0,,,1566924,[None],0.0,3424,6761116,True,True
ROBERTO BALESTRA,73674.0,427.0,2015.0,GO,PP,54,13,Congressperson meal,0,,Samauma Restaurante,37329513000150,83704,0,2014-06-24T00:00:00,29.64,0.0,29.64,6,2014,0,,,1124186,[None],0.0,356,5452692,True,True
NILMÁRIO MIRANDA,74751.0,542.0,2015.0,MG,PT,54,13,Congressperson meal,0,,SPLASH BAR LTDA,25176884000160,023596,0,2013-08-22T00:00:00,55.9,0.0,55.9,8,2013,0,,,1053366,[None],0.0,2816,5202073,True,True
JOÃO MAGALHÃES,74120.0,239.0,2011.0,MG,PMDB,54,13,Congressperson meal,0,,GR S/A,2905110019732,383492,0,2011-04-19T00:00:00,12.3,0.0,12.3,4,2011,0,,,532178,[None],0.0,1233,2051366,True,True
NELSON PADOVANI,160566.0,567.0,2015.0,PR,PSDB,54,13,Congressperson meal,0,,SENAC GASTRONOMIA,33469172001644,033446,1,2011-08-24T00:00:00,30.0,0.0,30.0,8,2011,0,,,562950,[None],0.0,2327,2154711,True,True
DOMINGOS DUTRA,74197.0,72.0,2011.0,MA,SD,54,13,Congressperson meal,0,,CHAMINÉ RESTAURANTE,3455785000185,8523,0,2011-11-25T00:00:00,26.59,0.0,26.59,11,2011,0,,,579140,[None],0.0,1003,2209713,True,True
SÉRGIO MORAES,141542.0,512.0,2015.0,RS,PTB,54,13,Congressperson meal,0,,Carne de Sol 111,595462000107,18832,0,2013-11-11T00:00:00,120.12,0.0,120.12,11,2013,0,,,1071392,[None],0.0,1935,5268907,True,True
AFONSO MOTTA,178835.0,490.0,2019.0,RS,PDT,55,13,Congressperson meal,0,,SERV. NAC. DE APRENDIZAGEM COMERCIAL - SENAC,33469172001644,094126,0,2015-02-10T00:00:00,22.04,0.0,22.04,2,2015,0,,,1167598,[None],0.0,2880,5604503,True,True
ALFREDO SIRKIS,116663.0,321.0,2011.0,RJ,PSB,54,13,Congressperson meal,0,,OUTBACK STEAKHOUSE RESTAURANTES BRASIL S.A,17261661003865,013804,0,2014-07-28T00:00:00,102.5,0.0,102.5,7,2014,0,,,1132635,[None],0.0,2309,5483137,True,True
SANDRA ROSADO,74039.0,125.0,2011.0,RN,PSB,54,13,Congressperson meal,0,,dona lucia com. de alimentos ltda,16929258000107,037089,0,2013-10-26T00:00:00,33.93,0.0,33.93,10,2013,0,,,1067680,[None],0.0,1689,5255629,True,True
AFONSO MOTTA,178835.0,490.0,2019.0,RS,PDT,55,13,Congressperson meal,0,,RESTAURANTE GENZ LTDA,88107800000157,234766,0,2018-05-02T00:00:00,38.0,0.0,38.0,5,2018,0,,,1491520,[None],0.0,2880,6571770,True,True
JURANDY LOUREIRO,141475.0,276.0,2007.0,ES,PSC,53,13,Congressperson meal,0,,NATURETTO RESTAURANTE NATURAL LTDA,984060000277,004806,0,2010-12-14T00:00:00,27.6,0.0,27.6,12,2010,0,,,509708,[None],0.0,1864,1976231,True,True
VANDERLEI MACRIS,141553.0,394.0,2019.0,SP,PSDB,53,13,Congressperson meal,0,,PSIL - CASA DO PÃO DE QUEIJO LTDA. ME,9942482000173,1209,0,2009-10-15T00:00:00,10.0,0.0,10.0,10,2009,0,,,430776,[None],0.0,1947,1698758,True,True
LEONARDO QUINTÃO,141482.0,255.0,2015.0,MG,MDB,54,13,Congressperson meal,0,,SUCOS E ASSADOS LTDA,26179374000452,012842,0,2013-07-12T00:00:00,13.0,0.0,13.0,7,2013,0,,,1046245,[None],0.0,1873,5175399,True,True
LOURIVAL MENDES,160555.0,77.0,2011.0,MA,PTdoB,54,13,Congressperson meal,0,,ALECRIM - DISTRIBUIÇÃO DE ALIMENTOS LTDA,3619371000144,51462,0,2011-07-14T00:00:00,20.0,0.0,20.0,7,2011,0,,,554693,[None],0.0,2260,2127117,True,True
JOÃO FERNANDO COUTINHO,178917.0,149.0,2015.0,PE,PROS,55,13,Congressperson meal,0,,CLUB ALIMENTOS RESTAURANTE EIRELI ME,11114166000155,273892,0,2016-02-03T00:00:00,41.6,0.0,41.6,2,2016,0,,,1261853,[None],0.0,3006,5907402,True,True
SANDRA ROSADO,74039.0,125.0,2011.0,RN,PSB,54,13,Congressperson meal,0,,MAISON RESTAURANTE,10710192000183,015236,0,2011-02-06T00:00:00,32.0,0.0,32.0,2,2011,0,,,518588,[None],0.0,1689,2005357,True,True
SÁGUAS MORAES,160630.0,409.0,2015.0,MT,PT,55,13,Congressperson meal,0,,SENAC - serviço de Nacional de aprendizagem comercial,33469172000672,173879,0,2015-10-08T00:00:00,23.9,0.0,23.9,10,2015,0,,,1238832,[None],0.0,2347,5833969,True,True
ROBERTO DORNER,161903.0,519.0,2011.0,MT,PSD,54,13,Congressperson meal,0,,SENAC GASTRONOMIA,33469172001644,036733,0,2011-10-25T00:00:00,164.0,120.0,44.0,10,2011,0,,,572138,[None],0.0,2416,2186457,True,True
EDUARDO BARBOSA,74655.0,230.0,2019.0,MG,PSDB,53,13,Congressperson meal,0,,GIRAFFAS,9175075000188,083473,0,2009-08-04T00:00:00,19.1,0.0,19.1,8,2009,0,,,413108,[None],0.0,1010,1638484,True,True
CLAUDIO CAJADO,74537.0,186.0,2019.0,BA,PP,55,13,Congressperson meal,0,,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,33469172002292,8062,4,2017-12-06T00:00:00,44.15,0.0,44.15,12,2017,0,,,1450032,[None],0.0,995,6461819,True,True
LUIZ LAURO FILHO,178982.0,365.0,2015.0,SP,PSB,55,13,Congressperson meal,0,,PANIFICADORA PAO DO CAMBUI LTDA.,144516000100,574952,0,2015-03-09T00:00:00,44.1,0.0,44.1,3,2015,0,,,1178466,[None],0.0,3052,5640432,True,True
JOSÉ CARLOS ARAÚJO,74140.0,197.0,2015.0,BA,PR,55,13,Congressperson meal,0,,BABY BEEF EXPRESS COM. DE ALIM. E BEB. LTDA,10686444000186,2022,0,2016-09-05T00:00:00,43.3,0.0,43.3,9,2016,0,,,1321469,[None],0.0,1564,6095750,True,True
MAURO NAZIF,141508.0,49.0,2019.0,RO,PSB,54,13,Congressperson meal,0,,RESTAURANTE DO TORRE PALACE HOTEL,96115000121,38477,0,2011-10-31T00:00:00,45.65,0.0,45.65,10,2011,0,,,580107,[None],0.0,1893,2213420,True,True
MISSIONÁRIO JOSÉ OLIMPIO,160561.0,375.0,2015.0,SP,DEM,54,13,Congressperson meal,0,,CHURRASCARIA PLAZA GRILL ITU LTDA - EPP,10464181000160,1654,0,2011-05-28T00:00:00,71.6,0.0,71.6,5,2011,0,,,542750,[None],0.0,2388,2086746,True,True
EDINHO ARAÚJO,73447.0,344.0,2015.0,SP,MDB,55,13,Congressperson meal,0,,LAKE SIDE,22642985000191,678,0,2016-06-14T00:00:00,34.9,0.0,34.9,6,2016,0,,,1303535,[None],0.0,1006,6038931,True,True
FLAVINHO,178978.0,357.0,2015.0,SP,PSC,55,13,Congressperson meal,0,,JVJ ALIMENTOS E BEBIDAS EIRELI,24689718000103,29492,4,2018-05-02T00:00:00,39.6,0.0,39.6,5,2018,0,,,1490537,[None],0.0,2971,6568993,True,True
MISSIONÁRIO JOSÉ OLIMPIO,160561.0,375.0,2015.0,SP,DEM,55,13,Congressperson meal,0,,CHURRASCARIA ESPETO DE OURO LTDA,660993000128,001466,0,2015-07-08T00:00:00,110.0,0.0,110.0,7,2015,0,,,1209945,[None],0.0,2388,5737974,True,True
