congressperson_name,congressperson_id,congressperson_document,term,state,party,term_id,subquota_number,subquota_description,subquota_group_id,subquota_group_description,supplier,cnpj_cpf,document_number,document_type,issue_date,document_value,remark_value,total_net_value,month,year,installment,passenger,leg_of_the_trip,batch_number,numbers,total_value,applicant_id,document_id
GIVALDO CARIMBÃO,74558.0,166.0,2015.0,AL,AVANTE,53,11,Postal services,0,,CORREIOS - SEDEX 10,7,RSP : 1184145,1,2010-12-21T17:06:22,22.4,0.0,22.4,12,2010,0,,,0,['0'],,1332,0
ARNALDO JORDY,160602.0,18.0,2015.0,PA,PPS,55,1,Maintenance of office supporting parliamentary activity,0,,FONSECA & FONSECA CORRETORA DE IMOVEIS LTDA,2196529000158,00000003209,1,2018-01-26T00:00:00,2997.0,0.0,2997.0,1,2018,0,,,1467093,[nan],0.0,2341,6507985
VITOR LIPPI,178992.0,399.0,2019.0,SP,PSDB,55,11,Postal services,0,,CORREIOS - SEDEX CONVENCIONAL,7,RSP : 2161088,1,2016-04-26T11:15:44,30.39,0.0,30.39,4,2016,0,,,0,['0'],,2954,0
BETO ROSADO,178948.0,121.0,2019.0,RN,PP,55,11,Postal services,0,,CORREIOS - CAIXA DE ENCOMENDAS BÁSICA/CONVENCIONAL,7,RSP : 2182435,1,2016-11-17T17:18:18,4.7,0.0,4.7,11,2016,0,,,0,['0'],,3047,0
RÔNEY NEMER,178870.0,415.0,2015.0,DF,PP,55,3,Fuels and lubricants,1,Veículos Automotores,CMKS COMERCIO DE DERIVADOS DE PETROLEO LTDA,3511883000192,206755,4,2018-10-12T00:00:00,198.25,0.0,198.25,10,2018,0,,,1533255,[nan],0.0,2904,6682608
ROBERTO BALESTRA,73674.0,427.0,2015.0,GO,PP,55,11,Postal services,0,,CORREIOS - CARTA COMERCIAL,7,RSP : 2109063,1,2015-02-12T12:23:50,404.25,0.0,404.25,2,2015,0,,,0,['0'],,356,0
SÉRGIO BRITO,73808.0,213.0,2019.0,BA,PSD,53,1,Maintenance of office supporting parliamentary activity,0,,INFORMÁTICA IMÓVEIS LTDA,14997688000130,S/N,1,2009-08-01T00:00:00,1237.28,0.0,1237.28,8,2009,0,,,413878,[nan],0.0,169,1641493
MARIA DO ROSÁRIO,74398.0,508.0,2019.0,RS,PT,55,14,"Lodging, except for congressperson from Distrito Federal",0,,JORGE CURI SA HOTEIS TURISMO,92192368000117,17331,0,2018-06-30T00:00:00,315.0,0.0,315.0,6,2018,0,,,1510390,[nan],0.0,1605,6616783
ALEX MANENTE,178972.0,331.0,2019.0,SP,PPS,55,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-4552.678054,0,2015-03-10T00:00:00,120.0,0.0,120.0,3,2015,0,ALEX MANENTE,BSB/BSB,0,['0'],,3011,1081971
FERNANDO COELHO FILHO,141431.0,158.0,2019.0,PE,DEM,54,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2472.934175,0,2013-08-02T00:00:00,401.0,0.0,401.0,8,2013,0,FERNANDO COELHO FILHO,REC/BSB,0,['0'],,1833,737007
JOÃO PAULO LIMA,160549.0,149.0,2011.0,PE,PT,54,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 9572427172395,0,2011-04-08T00:00:00,479.66,0.0,479.66,4,2011,0,JOÃO PAULO LIMA,BSB/REC,0,['0'],,2392,0
PAULO PEREIRA DA SILVA,141518.0,372.0,2019.0,SP,SOLIDARIEDADE,55,999,Flight ticket issue,0,,Cia Aérea - AVIANCA,2575829000148,Bilhete: 2430617241,0,2017-07-03T00:00:00,766.79,0.0,766.79,7,2017,0,JOSE DA COSTA/MAKSUEL,BSB/CGH,0,['0'],,1903,1450401
CLÁUDIO PUTY,160557.0,22.0,2011.0,PA,PT,54,13,Congressperson meal,0,,GLERSY ALIMENTOS LTDA,11197839000188,010604,0,2011-06-26T00:00:00,73.8,0.0,73.8,6,2011,0,,,554035,[nan],0.0,2313,2124621
RODRIGO PACHECO,178897.0,260.0,2015.0,MG,DEM,55,1,Maintenance of office supporting parliamentary activity,0,,CEMIG,6981180000116,00987615,0,2015-06-17T00:00:00,74.13,0.0,74.13,6,2015,0,,,1206260,[nan],0.0,3007,5726818
JAIRO ATAÍDE,3151.0,533.0,2011.0,MG,DEM,53,3,Fuels and lubricants,1,Veículos Automotores,ANTARES COMBUSTIVEIS LTDA,3888789000238,001984,0,2010-06-30T00:00:00,2993.91,0.0,2993.91,6,2010,0,,,485913,[nan],0.0,1969,1891598
RICARDO IZAR,160655.0,383.0,2019.0,SP,PP,56,10,Telecommunication,0,,IMÓVEL FUNCIONAL,3,5230342,0,,211.585,0.0,211.59,6,2013,0,,,0,['0'],,2253,0
JOSE EDUARDO CARDOZO,74274.0,366.0,2007.0,SP,PT,53,3,Fuels and lubricants,1,Veículos Automotores,POSTO BRASÍLIA PIONEIRO,7822636000168,11171,0,2009-07-12T00:00:00,50.0,0.0,50.0,7,2009,0,,,410936,[nan],0.0,1566,1630472
PENNA,80920.0,551.0,2015.0,SP,PV,54,3,Fuels and lubricants,1,Veículos Automotores,AUTO POSTO CANARINHO LTDA,60922176000122,204442,0,2012-03-12T00:00:00,20.0,0.0,20.0,3,2012,0,,,599540,[nan],0.0,2375,2275355
VANESSA GRAZZIOTIN,74357.0,40.0,2007.0,AM,PCdoB,53,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 9572418881178,0,2010-11-24T00:00:00,1488.62,0.0,1488.62,11,2010,0,VANESSA GRAZZIOTIN,MAO-GRU,0,['0'],,1287,0
HERMES PARCIANELLO,73772.0,448.0,2019.0,PR,MDB,53,15,Automotive vehicle renting or watercraft charter,0,,MONTE CRISTO LOC VEICULOS LTDA.,7042915000109,001929,1,2009-12-14T00:00:00,355.0,0.0,355.0,12,2009,0,,,446284,[nan],0.0,1042,1750304
